model,dataset,split,rmse,mae,r2,inversed,model_path
"DecisionTreeRegressor (max_depth=20, min_samples_split=20, min_samples_leaf=1)",hot,val,109.2302,64.4523,0.6522,False,../models/dt_20_depth_20_minsplit_1_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=20, min_samples_split=20, min_samples_leaf=1)",hot,test,111.4266,66.4078,0.6432,False,../models/dt_20_depth_20_minsplit_1_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=20, min_samples_split=20, min_samples_leaf=5)",hot,train,78.7021,47.8972,0.8187,False,../models/dt_20_depth_20_minsplit_5_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=20, min_samples_split=20, min_samples_leaf=5)",hot,val,108.6274,65.1405,0.656,False,../models/dt_20_depth_20_minsplit_5_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=20, min_samples_split=20, min_samples_leaf=5)",hot,test,109.1788,66.5753,0.6575,False,../models/dt_20_depth_20_minsplit_5_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=20, min_samples_split=20, min_samples_leaf=10)",hot,train,84.0907,51.4046,0.7931,False,../models/dt_20_depth_20_minsplit_10_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=20, min_samples_split=20, min_samples_leaf=10)",hot,val,108.7575,65.7792,0.6552,False,../models/dt_20_depth_20_minsplit_10_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=20, min_samples_split=20, min_samples_leaf=10)",hot,test,108.4897,67.1622,0.6618,False,../models/dt_20_depth_20_minsplit_10_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=20, min_samples_split=20, min_samples_leaf=20)",hot,train,93.8117,58.0192,0.7424,False,../models/dt_20_depth_20_minsplit_20_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=20, min_samples_split=20, min_samples_leaf=20)",hot,val,109.034,66.7726,0.6534,False,../models/dt_20_depth_20_minsplit_20_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=20, min_samples_split=20, min_samples_leaf=20)",hot,test,107.8821,67.1265,0.6656,False,../models/dt_20_depth_20_minsplit_20_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=20, min_samples_split=30, min_samples_leaf=1)",hot,train,79.512,48.8236,0.815,False,../models/dt_20_depth_30_minsplit_1_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=20, min_samples_split=30, min_samples_leaf=1)",hot,val,108.5047,64.9293,0.6568,False,../models/dt_20_depth_30_minsplit_1_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=20, min_samples_split=30, min_samples_leaf=1)",hot,test,109.7299,66.4125,0.654,False,../models/dt_20_depth_30_minsplit_1_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=20, min_samples_split=30, min_samples_leaf=5)",hot,train,83.8024,51.5711,0.7945,False,../models/dt_20_depth_30_minsplit_5_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=20, min_samples_split=30, min_samples_leaf=5)",hot,val,108.2356,65.469,0.6585,False,../models/dt_20_depth_30_minsplit_5_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=20, min_samples_split=30, min_samples_leaf=5)",hot,test,109.4729,67.2371,0.6556,False,../models/dt_20_depth_30_minsplit_5_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=20, min_samples_split=30, min_samples_leaf=10)",hot,train,87.4366,53.7246,0.7763,False,../models/dt_20_depth_30_minsplit_10_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=20, min_samples_split=30, min_samples_leaf=10)",hot,val,108.5169,66.001,0.6567,False,../models/dt_20_depth_30_minsplit_10_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=20, min_samples_split=30, min_samples_leaf=10)",hot,test,109.0725,67.5807,0.6581,False,../models/dt_20_depth_30_minsplit_10_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=20, min_samples_split=30, min_samples_leaf=20)",hot,train,93.8117,58.0192,0.7424,False,../models/dt_20_depth_30_minsplit_20_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=20, min_samples_split=30, min_samples_leaf=20)",hot,val,109.034,66.7726,0.6534,False,../models/dt_20_depth_30_minsplit_20_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=20, min_samples_split=30, min_samples_leaf=20)",hot,test,107.8821,67.1265,0.6656,False,../models/dt_20_depth_30_minsplit_20_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=30, min_samples_split=2, min_samples_leaf=1)",hot,train,8.4366,1.4411,0.9979,False,../models/dt_30_depth_2_minsplit_1_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=30, min_samples_split=2, min_samples_leaf=1)",hot,val,114.4344,57.2376,0.6182,False,../models/dt_30_depth_2_minsplit_1_minleaf_hot.pkl
